Timestamp,Right Knee Angle,Right Elbow Angle
1747283099.9901583,53,161
1747283100.0975022,75,160
1747283100.176922,81,158
1747283100.3140013,95,158
1747283100.4228728,111,158
1747283100.5499566,117,159
1747283100.6754506,116,159
1747283100.7726917,132,158
1747283100.8632522,123,157
1747283100.9692411,111,155
1747283101.0625644,103,152
1747283101.145984,94,150
1747283101.2637587,84,150
1747283101.367104,85,150
1747283101.4969256,82,152
1747283101.6177156,78,155
1747283101.708098,83,157
1747283101.7954354,83,160
1747283101.8864238,72,163
1747283101.9794035,59,165
1747283102.096344,71,166
1747283102.2130299,71,167
1747283102.2898211,80,168
1747283102.377814,101,170
1747283102.493891,123,171
1747283102.6006086,127,172
1747283102.7211013,137,172
1747283102.8786924,144,172
1747283102.9742413,152,172
1747283103.0705588,162,172
1747283103.1628695,142,173
1747283103.2559774,121,173
1747283103.3375576,95,174
1747283103.4418986,72,175
1747283103.5368307,64,175
1747283103.6280696,83,175
1747283103.712965,83,175
1747283103.8372588,89,176
1747283103.9149091,96,175
1747283104.0014813,87,175
1747283104.095355,65,174
1747283104.1889398,64,173
1747283104.2863371,52,171
1747283104.3805258,34,169
1747283104.4687717,41,168
1747283104.5508194,69,166
1747283104.6451488,93,165
1747283104.73881,122,163
1747283104.8331356,154,162
1747283104.930179,160,160
1747283105.014928,160,159
1747283105.0995412,163,160
1747283105.1942844,166,161
1747283105.2889707,168,164
1747283105.3860223,171,167
1747283105.4790232,173,170
1747283105.574552,174,172
1747283105.6677754,177,173
1747283105.7630885,177,173
1747283105.8584003,177,174
1747283105.9615743,176,174
1747283106.0633094,176,175
1747283106.1547391,175,176
1747283106.250546,172,177
1747283106.3441572,168,178
1747283106.4381843,163,178
1747283106.5669467,156,178
1747283106.6638627,150,178
1747283106.759463,144,178
1747283106.864964,140,177
1747283106.9753811,134,178
1747283107.0683174,124,178
1747283107.1617613,112,177
1747283107.2684364,97,176
1747283107.3526144,83,174
1747283107.4466486,70,173
1747283107.5396154,60,172
1747283107.633747,53,171
1747283107.7369235,48,172
1747283107.815661,44,173
1747283107.9010103,42,175
1747283108.0056975,42,176
1747283108.0974653,43,177
1747283108.1849039,45,178
1747283108.2796032,48,178
1747283108.380537,51,178
1747283108.470165,52,176
1747283108.5696065,54,171
1747283108.6567144,56,162
1747283108.7375271,66,151
1747283108.8199003,84,140
1747283108.9136446,110,131
1747283109.0073903,134,126
1747283109.1041875,156,124
1747283109.1949625,170,124
1747283109.2907104,175,125
1747283109.3849049,173,127
1747283109.4820042,173,128
1747283109.5744014,173,129
1747283109.6703684,175,131
1747283109.7658863,176,134
1747283109.8796115,176,136
1747283109.9874117,176,138
1747283110.080149,176,139
1747283110.1757324,175,140
1747283110.2711546,174,139
1747283110.3657746,174,139
1747283110.4596345,172,138
1747283110.555023,171,137
1747283110.647787,170,136
1747283110.7590759,169,135
1747283110.8644004,168,133
1747283110.95478,168,131
1747283111.058458,168,127
1747283111.1541107,168,121
1747283111.2480583,168,111
1747283111.3611362,169,101
1747283111.481648,170,89
1747283111.5671515,169,79
1747283111.676002,168,71
1747283111.7967606,164,58
1747283111.8794537,159,54
1747283111.9764915,153,70
1747283112.084939,149,81
1747283112.1682525,147,93
1747283112.2543306,149,111
1747283112.3477967,153,120
1747283112.4507854,160,109
1747283112.5277796,165,104
1747283112.616271,169,101
1747283112.7277966,172,98
1747283112.8352475,174,97
1747283112.9045818,176,96
1747283112.9965942,177,95
1747283113.0988655,177,99
1747283113.1859205,178,106
1747283113.297923,177,115
1747283113.402719,176,124
1747283113.4955378,175,130
